[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.046707s ]
[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.070352s ]
[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.068518s ]
[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.068637s ]
[ 2013-03-22T19:20:36+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: list 7e4848229090366086cc7eeb3bfc0798.php 第 11 行.
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: page 7e4848229090366086cc7eeb3bfc0798.php 第 14 行.
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.181947s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.182022s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.027060s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.015021s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.011214s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002209s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.055793s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004567s ]
[ 2013-03-22T19:20:37+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004655s ]
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --START--
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | INFO: Run CheckRoute Behavior [ RunTime:0.033911s ]
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.034063s ]
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --START--
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004525s ]
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004614s ]
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.006167s ]
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-03-22T19:21:38+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_goods [ RunTime:0.001572s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant r - assumed 'r' SearchAction.class.php 第 8 行.
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_template ] --START--
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run LocationTemplate Behavior [ RunTime:0.019524s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.019625s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_parse ] --START--
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run ParseTemplate Behavior [ RunTime:0.042257s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042375s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_filter ] --START--
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run ContentReplace Behavior [ RunTime:0.003102s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run TokenBuild Behavior [ RunTime:0.003325s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003251s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003188s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013136s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_end ] --START--
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003159s ]
[ 2013-03-22T19:21:39+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003245s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ route_check ] --START--
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run CheckRoute Behavior [ RunTime:0.003577s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003714s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ app_begin ] --START--
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004844s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004933s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.007435s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [8] Undefined index: search SearchAction.class.php 第 30 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | SQL: SELECT *FROM think_goods [ RunTime:0.001414s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | NOTIC: [8] Use of undefined constant r - assumed 'r' SearchAction.class.php 第 8 行.
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_template ] --START--
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.005084s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005187s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_parse ] --START--
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.024438s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024542s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Tag[ view_filter ] --START--
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.003098s ]
[ 2013-03-22T19:21:44+08:00 ] /Ibike/index.php/Search/index?r=&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.003263s ]
