[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001369s ]
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001517s ]
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001193s ]
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001405s ]
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005765s ]
[ 2013-04-03T20:31:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1364992260 WHERE username='o3eijk6p4m290a8scfv1llf0e7'; [ RunTime:0.000717s ]
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002021s ]
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002157s ]
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001421s ]
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001510s ]
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.021431s ]
[ 2013-04-03T20:31:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1364992264 WHERE username='o3eijk6p4m290a8scfv1llf0e7'; [ RunTime:0.000688s ]
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001400s ]
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001538s ]
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001134s ]
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001220s ]
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005992s ]
[ 2013-04-03T20:31:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1364992266 WHERE username='o3eijk6p4m290a8scfv1llf0e7'; [ RunTime:0.000549s ]
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001457s ]
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001594s ]
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001181s ]
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001271s ]
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005789s ]
[ 2013-04-03T20:31:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1364992268 WHERE username='7gk3rvgobu3knu6fufjrgbbak6'; [ RunTime:0.001151s ]
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001373s ]
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001508s ]
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001131s ]
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001217s ]
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006617s ]
[ 2013-04-03T20:31:10+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1364992270 WHERE username='o3eijk6p4m290a8scfv1llf0e7'; [ RunTime:0.000795s ]
[ 2013-04-03T20:31:14+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-03T20:31:14+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001386s ]
