[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D4E63893C'; [ RunTime:0.001169s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.001190s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.067799s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 21 行.
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.001725s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: username ShopcarAction.class.php 第 104 行.
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | SQL: SELECT *FROM think_shopcar WHERE username='698516el7q1g6rla588lceqov0'; [ RunTime:0.013327s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Tag[ view_template ] --START--
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.006648s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.006991s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | NOTIC: [8] Undefined index: username 7e4848229090366086cc7eeb3bfc0798.php 第 296 行.
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.271438s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.271561s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.017364s ]
[ 2013-04-15T15:13:18+08:00 ] /Ibike/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.012849s ]
