[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000779s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant r - assumed 'r' SearchAction.class.php 第 9 行.
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_template ] --START--
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002332s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002439s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run ParseTemplate Behavior [ RunTime:0.020838s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020964s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run ContentReplace Behavior [ RunTime:0.001648s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run TokenBuild Behavior [ RunTime:0.003772s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001403s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001546s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008666s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_end ] --START--
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001368s ]
[ 2013-04-01T22:58:20+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001466s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | INFO: Run CheckRoute Behavior [ RunTime:0.001357s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001495s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001164s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001256s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.007138s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Undefined index: search SearchAction.class.php 第 34 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.002549s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.006949s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.000830s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000786s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425541304D'; [ RunTime:0.000644s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425D7343D3'; [ RunTime:0.001000s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154267E6B8A7'; [ RunTime:0.000851s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515426F99700C'; [ RunTime:0.001179s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154274F61CA7'; [ RunTime:0.000996s ]
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' SearchAction.class.php 第 56 行.
[ 2013-04-01T22:58:47+08:00 ] /Ibike/index.php/Search/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D0B9537DB'; [ RunTime:0.000779s ]
