[ 2012-09-22T21:56:40+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-22T21:56:40+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.031481s ]
[ 2012-09-22T21:56:40+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.033269s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.131377s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 8 行.
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.002209s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.025827s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.028931s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.029194s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.273730s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.273899s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.009804s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.015245s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015748s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.056661s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.097749s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.024371s ]
[ 2012-09-22T21:56:41+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.024462s ]
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.023571s ]
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.023761s ]
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001541s ]
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001657s ]
[ 2012-09-22T21:56:47+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 8 行.
