[ 2013-03-13T11:30:12+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-13T11:30:13+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.236375s ]
[ 2013-03-13T11:30:13+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.330813s ]
[ 2013-03-13T11:30:13+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-13T11:30:13+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.204301s ]
[ 2013-03-13T11:30:13+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.204439s ]
[ 2013-03-13T11:30:13+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: list 7e4848229090366086cc7eeb3bfc0798.php 第 11 行.
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: page 7e4848229090366086cc7eeb3bfc0798.php 第 14 行.
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.350768s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.350909s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.046206s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.028054s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.056140s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.061380s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.192091s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.031288s ]
[ 2013-03-13T11:30:14+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.031391s ]
[ 2013-03-13T11:30:15+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-03-13T11:30:15+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.049412s ]
[ 2013-03-13T11:30:15+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.049551s ]
[ 2013-03-13T11:30:15+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-03-13T11:30:15+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001121s ]
[ 2013-03-13T11:30:15+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001207s ]
[ 2013-03-13T11:30:16+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
