[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.028156s ]
[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.043603s ]
[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.117034s ]
[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | SQL: DELETE FROM think_shopcar WHERE 1366119772-add_time>20 AND state='临时'; [ RunTime:0.030369s ]
[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.105420s ]
[ 2013-04-16T21:42:52+08:00 ] /Ibike/ | SQL: SELECT *FROM think_goods ORDER BY shelf_time; [ RunTime:0.028348s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.058274s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='51542427CABFA'; [ RunTime:0.000669s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515424C6F1A93'; [ RunTime:0.000553s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425541304D'; [ RunTime:0.000546s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515425D7343D3'; [ RunTime:0.000529s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154267E6B8A7'; [ RunTime:0.000526s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='515426F99700C'; [ RunTime:0.000570s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5154274F61CA7'; [ RunTime:0.000400s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D0B9537DB'; [ RunTime:0.000333s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D1F224754'; [ RunTime:0.000505s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D24AA9A94'; [ RunTime:0.000575s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D2E00FA45'; [ RunTime:0.000541s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D336E32D4'; [ RunTime:0.000546s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D37DC7E1A'; [ RunTime:0.000584s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D418E6E0A'; [ RunTime:0.000535s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D48BE0BBB'; [ RunTime:0.000551s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D4E63893C'; [ RunTime:0.000531s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 15 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000547s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_rent_goods` [ RunTime:0.065241s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' DealAction.class.php 第 21 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_rent_goods WHERE goods_num='515A9C678812D'; [ RunTime:0.000626s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Undefined index: username ShopcarAction.class.php 第 104 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | SQL: SELECT *FROM think_shopcar WHERE username='5l242l50gf4vrn4rov2adai4n3'; [ RunTime:0.014032s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.031209s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.031313s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | NOTIC: [8] Undefined index: username 7e4848229090366086cc7eeb3bfc0798.php 第 302 行.
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.171020s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.171101s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.015830s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.012884s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007880s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.012062s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.048936s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.014553s ]
[ 2013-04-16T21:42:53+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.014642s ]
[ 2013-04-16T21:43:03+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.668826s ]
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.668988s ]
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001854s ]
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001965s ]
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.007923s ]
[ 2013-04-16T21:43:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366119784 WHERE username='5l242l50gf4vrn4rov2adai4n3'; [ RunTime:0.001183s ]
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001851s ]
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002029s ]
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001741s ]
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001851s ]
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005376s ]
[ 2013-04-16T21:43:13+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366119793 WHERE username='5l242l50gf4vrn4rov2adai4n3'; [ RunTime:0.000891s ]
