[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008269s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.018740s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.087117s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.002215s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.011157s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.045260s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.045412s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.160810s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.161008s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.029546s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.021101s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.026958s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.023985s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.102133s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.063529s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.063668s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.016681s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.016842s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-10-13T13:21:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000863s ]
[ 2012-10-13T13:21:47+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000945s ]
[ 2012-10-13T13:21:48+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ app_begin ] --START--
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000808s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000946s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.008170s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.001107s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | SQL: SELECT * FROM `think_user` LIMIT 5,5   [ RunTime:0.002196s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_template ] --START--
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000947s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001181s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_parse ] --START--
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.011264s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011374s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_filter ] --START--
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.002108s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.000750s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000484s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000866s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004458s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_end ] --START--
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000748s ]
[ 2012-10-13T13:21:55+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000827s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ app_begin ] --START--
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000817s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000951s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.088786s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000719s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | SQL: SELECT * FROM `think_user` LIMIT 10,5   [ RunTime:0.001523s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_template ] --START--
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000803s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000890s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_parse ] --START--
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run ParseTemplate Behavior [ RunTime:0.010672s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010775s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_filter ] --START--
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run ContentReplace Behavior [ RunTime:0.000623s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run TokenBuild Behavior [ RunTime:0.000679s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000466s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run ShowRuntime Behavior [ RunTime:0.000673s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002669s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_end ] --START--
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000708s ]
[ 2012-10-13T13:21:56+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000787s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ app_begin ] --START--
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001173s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001378s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.008139s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.001057s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | SQL: SELECT * FROM `think_user` LIMIT 10,5   [ RunTime:0.001775s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_template ] --START--
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Run LocationTemplate Behavior [ RunTime:0.001300s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001391s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_parse ] --START--
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Run ParseTemplate Behavior [ RunTime:0.011964s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012069s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Tag[ view_filter ] --START--
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Run ContentReplace Behavior [ RunTime:0.000789s ]
[ 2012-10-13T13:24:11+08:00 ] /Ibike/?5=&p=3 | INFO: Run TokenBuild Behavior [ RunTime:0.000952s ]
