[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001306s ]
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001448s ]
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001080s ]
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001168s ]
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.008005s ]
[ 2013-04-17T20:40:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366202422 WHERE username='mfag2k0dos2cn2vp03nhj8ank3'; [ RunTime:0.000973s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ route_check ] --START--
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run CheckRoute Behavior [ RunTime:0.003669s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003817s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001575s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001666s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_template ] --START--
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002047s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002165s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | NOTIC: [8] Undefined index: username 6b479b6a4a67b7af30c30c959a17b177.php 第 309 行.
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | NOTIC: [8] Undefined variable: shopcar_list 6b479b6a4a67b7af30c30c959a17b177.php 第 333 行.
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018925s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018999s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run ContentReplace Behavior [ RunTime:0.001422s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run TokenBuild Behavior [ RunTime:0.001331s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001007s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001237s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005267s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_end ] --START--
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001239s ]
[ 2013-04-17T20:40:25+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001323s ]
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001451s ]
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001634s ]
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002926s ]
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003015s ]
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006057s ]
[ 2013-04-17T20:40:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366202426 WHERE username='8d5hh2ghrs0c02f0datkdr4n63'; [ RunTime:0.000884s ]
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001434s ]
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001584s ]
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001188s ]
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001280s ]
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006020s ]
[ 2013-04-17T20:40:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366202427 WHERE username='qarcq8ukd7o1ju7fp1ipaggu04'; [ RunTime:0.000643s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001481s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001634s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001178s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001271s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005850s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1366202428 WHERE username='qarcq8ukd7o1ju7fp1ipaggu04'; [ RunTime:0.000656s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ route_check ] --START--
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run CheckRoute Behavior [ RunTime:0.001300s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001437s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001845s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001941s ]
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Tag[ view_template ] --START--
[ 2013-04-17T20:40:28+08:00 ] /Ibike/index.php/Index/home_head/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001160s ]
