[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.072619s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.088287s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.087826s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.087994s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.241193s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.241472s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.015940s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.012844s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.011400s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.008858s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.049318s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.014551s ]
[ 2013-04-02T15:01:54+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.014640s ]
[ 2013-04-02T15:01:59+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:01:59+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:00+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:01+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:02+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:03+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:04+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:06+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:15+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:16+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:17+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:19+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:02:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:03:08+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:03:09+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:05:57+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:05:57+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:05:59+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001717s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001858s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.028735s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.028930s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.130567s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.130718s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.001992s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.009302s ]
[ 2013-04-02T15:06:19+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.008294s ]
[ 2013-04-02T15:06:20+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.023096s ]
[ 2013-04-02T15:06:20+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.042977s ]
[ 2013-04-02T15:06:20+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-04-02T15:06:20+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.093139s ]
[ 2013-04-02T15:06:20+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.093304s ]
[ 2013-04-02T15:06:22+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:23+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:24+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:25+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:26+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:27+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:28+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:29+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:30+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:32+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:33+08:00 ] /Ibike/index.php/Shopcar/state_deal | ERR: (ThinkException) Model:excute您所请求的方法不存在！
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --START--
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | INFO: Run CheckRoute Behavior [ RunTime:0.001555s ]
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001696s ]
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001206s ]
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001292s ]
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.102284s ]
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-04-02T15:06:34+08:00 ] /Ibike/index.php/Search/index | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
