[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.028311s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.036879s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.067467s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.067718s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.224318s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.224551s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.017203s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.012854s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007490s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.012415s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.050547s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.014282s ]
[ 2013-04-01T10:10:33+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.014473s ]
[ 2013-04-01T10:10:53+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T10:10:53+08:00 ] /Ibike/index.php/Search/index | INFO: Run CheckRoute Behavior [ RunTime:0.012246s ]
[ 2013-04-01T10:10:53+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.012388s ]
[ 2013-04-01T10:10:53+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T10:10:53+08:00 ] /Ibike/index.php/Search/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001466s ]
[ 2013-04-01T10:10:53+08:00 ] /Ibike/index.php/Search/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001555s ]
[ 2013-04-01T10:10:54+08:00 ] /Ibike/index.php/Search/index | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.212819s ]
