[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001187s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001323s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 5 行.
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.014667s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000804s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000692s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.013904s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.014074s ]
[ 2012-09-29T10:14:19+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.109445s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.109633s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.008759s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.004117s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015735s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001289s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.030176s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.012758s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.012841s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.010899s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.011055s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000934s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001027s ]
[ 2012-09-29T10:14:20+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-29T10:14:56+08:00 ] /Ibike/ | ERR: (ThinkException) �������ӷ���һ��ʱ���û����ȷ�𸴻����ӵ�����û�з�Ӧ�����ӳ���ʧ�ܡ�

[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000873s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001022s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 5 行.
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006019s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000831s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000868s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001242s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001330s ]
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-29T10:15:19+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.020312s ]
