[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001483s ]
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001634s ]
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001241s ]
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001337s ]
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.010318s ]
[ 2013-04-11T14:59:21+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365663561 WHERE username='ers3t21dcpsj4lbl4i7qdosue7'; [ RunTime:0.000917s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run CheckRoute Behavior [ RunTime:0.001344s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001496s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001089s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001172s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.006116s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005428s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | SQL: SELECT *FROM think_shopcar WHERE username='haoyun'; [ RunTime:0.000565s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | SQL: SELECT goods_service,goods_num,goods_name,goods_pic FROM think_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000859s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | NOTIC: [8] Undefined index: desc_pic FileAction.class.php 第 104 行.
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | NOTIC: [8] Undefined index: goods_para FileAction.class.php 第 107 行.
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | NOTIC: [8] Undefined index: shelf_time FileAction.class.php 第 110 行.
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | SQL: SHOW COLUMNS FROM `think_sale_goods` [ RunTime:0.005481s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | NOTIC: [8] Use of undefined constant goods_num - assumed 'goods_num' FileAction.class.php 第 116 行.
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | SQL: SELECT *FROM think_sale_goods WHERE goods_num='5156D52A78126'; [ RunTime:0.000461s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_template ] --START--
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001231s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001327s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run ParseTemplate Behavior [ RunTime:0.030875s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030981s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run ContentReplace Behavior [ RunTime:0.001385s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run TokenBuild Behavior [ RunTime:0.001160s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000782s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001014s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004631s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_end ] --START--
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001035s ]
[ 2013-04-11T14:59:24+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001124s ]
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002243s ]
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.002398s ]
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001541s ]
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001642s ]
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.006702s ]
[ 2013-04-11T14:59:31+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365663571 WHERE username='ers3t21dcpsj4lbl4i7qdosue7'; [ RunTime:0.000779s ]
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.003448s ]
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.003590s ]
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003604s ]
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003704s ]
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005433s ]
[ 2013-04-11T14:59:34+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365663574 WHERE username='sb49jvs4010dcug54123ga6857'; [ RunTime:0.000755s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run CheckRoute Behavior [ RunTime:0.003856s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ route_check ] --END-- [ RunTime:0.003999s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003619s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003726s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.018076s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | SQL: SELECT * FROM `think_user` WHERE ( `username` = 'haoyun' ) AND ( `password` = 'b433f394e8b0b86d6bd87ddabaec3195' )  [ RunTime:0.000688s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.007471s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | SQL: create table temp as select *from think_shopcar; UPDATE think_shopcar SET username='haoyun',state='用户'  WHERE username='sb49jvs4010dcug54123ga6857' AND goods_num NOT IN (SELECT goods_num FROM temp WHERE username='haoyun'); drop table temp; [ RunTime:0.000514s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_template ] --START--
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run LocationTemplate Behavior [ RunTime:0.004891s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_template ] --END-- [ RunTime:0.004988s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ParseTemplate Behavior [ RunTime:0.035261s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035371s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ContentReplace Behavior [ RunTime:0.003263s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run TokenBuild Behavior [ RunTime:0.003325s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002851s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ShowRuntime Behavior [ RunTime:0.003105s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012841s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_end ] --START--
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ShowPageTrace Behavior [ RunTime:0.003096s ]
[ 2013-04-11T14:59:36+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_end ] --END-- [ RunTime:0.003183s ]
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.001577s ]
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.001729s ]
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001367s ]
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001467s ]
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.009187s ]
[ 2013-04-11T14:59:41+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365663581 WHERE username='ers3t21dcpsj4lbl4i7qdosue7'; [ RunTime:0.000764s ]
[ 2013-04-11T14:59:42+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:42+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Run CheckRoute Behavior [ RunTime:0.003637s ]
[ 2013-04-11T14:59:42+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ route_check ] --END-- [ RunTime:0.003776s ]
[ 2013-04-11T14:59:42+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:42+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003163s ]
[ 2013-04-11T14:59:42+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003263s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run CheckRoute Behavior [ RunTime:0.003672s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ route_check ] --END-- [ RunTime:0.003821s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003270s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003362s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006026s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | SQL: SELECT * FROM `think_user` WHERE ( `username` = 'haoyun' ) AND ( `password` = 'b433f394e8b0b86d6bd87ddabaec3195' )  [ RunTime:0.000977s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005841s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | SQL: create table temp as select *from think_shopcar; UPDATE think_shopcar SET username='haoyun',state='用户'  WHERE username='sb49jvs4010dcug54123ga6857' AND goods_num NOT IN (SELECT goods_num FROM temp WHERE username='haoyun'); drop table temp; [ RunTime:0.000678s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_template ] --START--
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run LocationTemplate Behavior [ RunTime:0.005181s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_template ] --END-- [ RunTime:0.005294s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ParseTemplate Behavior [ RunTime:0.029285s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029389s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ContentReplace Behavior [ RunTime:0.003271s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run TokenBuild Behavior [ RunTime:0.003451s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002865s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ShowRuntime Behavior [ RunTime:0.003119s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012993s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_end ] --START--
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Run ShowPageTrace Behavior [ RunTime:0.003117s ]
[ 2013-04-11T14:59:46+08:00 ] /Ibike/index.php/Login/login_submit | INFO: Tag[ view_end ] --END-- [ RunTime:0.003201s ]
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002088s ]
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002231s ]
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001461s ]
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001551s ]
[ 2013-04-11T14:59:48+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run CheckRoute Behavior [ RunTime:0.002975s ]
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ route_check ] --END-- [ RunTime:0.003110s ]
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002952s ]
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003040s ]
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: SHOW COLUMNS FROM `think_shopcar` [ RunTime:0.005589s ]
[ 2013-04-11T14:59:51+08:00 ] /Ibike/index.php/Shopcar/state_deal | SQL: UPDATE think_shopcar SET add_time=1365663591 WHERE username='ers3t21dcpsj4lbl4i7qdosue7'; [ RunTime:0.000837s ]
[ 2013-04-11T14:59:55+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:55+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Run CheckRoute Behavior [ RunTime:0.001334s ]
[ 2013-04-11T14:59:55+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ route_check ] --END-- [ RunTime:0.001486s ]
[ 2013-04-11T14:59:55+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ app_begin ] --START--
[ 2013-04-11T14:59:55+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001129s ]
[ 2013-04-11T14:59:55+08:00 ] /Ibike/index.php/Login/login_exit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001215s ]
[ 2013-04-11T14:59:57+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ route_check ] --START--
[ 2013-04-11T14:59:57+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Run CheckRoute Behavior [ RunTime:0.001381s ]
[ 2013-04-11T14:59:57+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001518s ]
[ 2013-04-11T14:59:57+08:00 ] /Ibike/index.php/Shopcar/index | INFO: Tag[ app_begin ] --START--
