[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.021358s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.030345s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005809s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000555s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.007144s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.024915s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.025021s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.160697s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.160805s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.017867s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.009401s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005160s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.012500s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.045202s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.012603s ]
[ 2013-03-05T15:56:24+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.012703s ]
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.014884s ]
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.015028s ]
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001301s ]
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001389s ]
[ 2013-03-05T15:56:25+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | INFO: Tag[ route_check ] --START--
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | INFO: Run CheckRoute Behavior [ RunTime:0.001992s ]
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002148s ]
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001401s ]
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001501s ]
[ 2013-03-05T15:56:28+08:00 ] /Ibike/index.php/Public/verify/random/0.91396532206659 | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001277s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001420s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006846s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000900s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | SQL: SELECT * FROM `think_user` LIMIT 5,5   [ RunTime:0.001599s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_template ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.002579s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002683s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_parse ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.017822s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017927s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_filter ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.001182s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.001571s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001248s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.001474s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005750s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_end ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001438s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/?5=&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001524s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001953s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002094s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001305s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001539s ]
[ 2013-03-05T15:56:32+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | INFO: Tag[ route_check ] --START--
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | INFO: Run CheckRoute Behavior [ RunTime:0.002199s ]
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002345s ]
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001675s ]
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001765s ]
[ 2013-03-05T15:56:39+08:00 ] /Ibike/index.php/Public/verify/random/0.954982495790353 | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001890s ]
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002035s ]
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001365s ]
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001450s ]
[ 2013-03-05T15:56:41+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
