[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.103043s ]
[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.114415s ]
[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.091545s ]
[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.091725s ]
[ 2013-03-17T17:50:43+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: list 7e4848229090366086cc7eeb3bfc0798.php 第 11 行.
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: page 7e4848229090366086cc7eeb3bfc0798.php 第 14 行.
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.631399s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.631489s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.021675s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.016225s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.021386s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.021746s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.081351s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.018559s ]
[ 2013-03-17T17:50:44+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.018686s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002019s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002188s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002065s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002176s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: list 7e4848229090366086cc7eeb3bfc0798.php 第 11 行.
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: page 7e4848229090366086cc7eeb3bfc0798.php 第 14 行.
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025940s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026014s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.001166s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.001443s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001129s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001240s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005248s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001271s ]
[ 2013-03-17T17:57:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001355s ]
[ 2013-03-17T18:35:36+08:00 ] /Ibike/index.php/Search/index/function.require | ERR: [256] �޷�������Ϊ xdb �����ļ� `/Ibike/Public/Plugin/pscws23/dict/dict.xdb` dict.class.php 第 155 行.
[ 2013-03-17T18:35:56+08:00 ] /Ibike/index.php/Search/index/function.require | ERR: [256] �޷�������Ϊ xdb �����ļ� `/Ibike/Public/Plugin/pscws23/dict/dict.xdb` dict.class.php 第 155 行.
[ 2013-03-17T18:36:15+08:00 ] /Ibike/index.php/Search/index/function.require | ERR: [256] �޷�������Ϊ xdb �����ļ� `/Ibike/Public/Plugin/pscws23/dict/dict.xdb` dict.class.php 第 155 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ route_check ] --START--
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Run CheckRoute Behavior [ RunTime:0.001965s ]
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ route_check ] --END-- [ RunTime:0.002101s ]
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ app_begin ] --START--
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001477s ]
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001574s ]
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.166717s ]
[ 2013-03-17T18:37:03+08:00 ] /Ibike/index.php/Search/index/function.require | SQL: SELECT *FROM think_goods [ RunTime:0.001917s ]
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ route_check ] --START--
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Run CheckRoute Behavior [ RunTime:0.016481s ]
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ route_check ] --END-- [ RunTime:0.016622s ]
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ app_begin ] --START--
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001130s ]
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001215s ]
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class PSCWS23_Dict dict.class.php 第 48 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class xdb_Dictionary dict.class.php 第 148 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class dba_Dictionary dict.class.php 第 201 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class sql_Dictionary dict.class.php 第 257 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class txt_Dictionary dict.class.php 第 315 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class XDB_R xdb_r.class.php 第 34 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [8] Only variable references should be returned by reference pscws2.class.php 第 370 行.
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | SQL: SHOW COLUMNS FROM `think_goods` [ RunTime:0.007890s ]
[ 2013-03-17T18:37:05+08:00 ] /Ibike/index.php/Search/index/function.require | SQL: SELECT *FROM think_goods [ RunTime:0.000738s ]
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ route_check ] --START--
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Run CheckRoute Behavior [ RunTime:0.001577s ]
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ route_check ] --END-- [ RunTime:0.001738s ]
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ app_begin ] --START--
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001218s ]
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001324s ]
[ 2013-03-17T18:38:14+08:00 ] /Ibike/index.php/Search/index/function.require | NOTIC: [2048] Redefining already defined constructor for class PSCWS2 pscws2.class.php 第 144 行.
